date,primary type,secondary type,latitude,longitude
2016-02-24 22:59:00,ASSAULT,SIMPLE,41.777694703,-87.607128049
2016-02-24 19:30:00,BATTERY,AGGRAVATED: OTHER DANG WEAPON,41.772386487,-87.607008297
2016-02-24 19:10:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.779697806,-87.613195258
2016-02-24 18:07:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.774196541,-87.603358499
2016-02-24 08:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.781231428,-87.620606304
2016-02-23 18:22:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.783428318,-87.607254015
2016-02-23 16:19:00,BATTERY,SIMPLE,41.762777923,-87.601263048
2016-02-23 13:56:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.775815434,-87.615515359
2016-02-23 13:30:00,BATTERY,SIMPLE,41.77587085,-87.609476619
2016-02-23 09:00:00,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,41.777558327,-87.615558249
2016-02-23 08:45:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.776125573,-87.61070558
2016-02-23 04:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.776190615,-87.607093691
2016-02-22 19:02:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.762216224,-87.606155351
2016-02-22 04:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.764926972,-87.610406058
2016-02-22 03:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.782155365,-87.610362894
2016-02-21 18:25:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.768359698,-87.619561109
2016-02-21 17:10:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.76729305,-87.61529879
2016-02-21 17:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.772303877,-87.621874577
2016-02-21 07:30:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,41.779059693,-87.615596501
2016-02-21 07:00:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,41.779059693,-87.615596501
2016-02-20 15:30:00,BATTERY,SIMPLE,41.777558327,-87.615558249
2016-02-20 12:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.781576603,-87.615660095
2016-02-20 10:20:00,ASSAULT,AGGRAVATED: HANDGUN,41.762930303,-87.61277799
2016-02-20 06:45:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.774214469,-87.599710588
