date,primary type,secondary type,latitude,longitude
2016-02-24 22:40:00,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,41.797704412,-87.625778181
2016-02-24 21:14:00,OTHER OFFENSE,TELEPHONE THREAT,41.782263667,-87.602324716
2016-02-24 11:31:00,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,41.790707399,-87.627710626
2016-02-24 06:40:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,41.790556418,-87.62236217
2016-02-23 19:30:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.785268355,-87.614452924
2016-02-23 18:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.777955715,-87.605874912
2016-02-21 22:59:00,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,41.777429331,-87.615556021
2016-02-21 16:52:00,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,41.78024763,-87.615102958
2016-02-17 19:27:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,41.781335054,-87.615651789
2016-02-16 19:27:00,OTHER OFFENSE,PAROLE VIOLATION,41.783495883,-87.638140427
2016-02-12 21:31:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,41.779597995,-87.637522586
2016-02-12 17:43:00,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,41.791751948,-87.632924701
2016-02-11 16:40:00,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,41.772277595,-87.620291185
2016-02-09 15:42:00,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,41.778046293,-87.605877555
2016-02-09 00:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.795730196,-87.622492022
2016-02-07 10:45:00,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,41.795247904,-87.625717187
2016-02-07 10:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.78134101,-87.609602089
2016-02-05 10:26:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,41.788357874,-87.622302126
2016-02-04 22:40:00,OTHER OFFENSE,PAROLE VIOLATION,41.779059693,-87.615596501
2016-02-03 19:45:00,OTHER OFFENSE,TAMPER WITH MOTOR VEHICLE,41.781414696,-87.604328907
2016-02-03 17:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.785002507,-87.609700245
2016-02-02 13:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.783299299,-87.607248137
2016-02-01 18:03:00,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,41.775858787,-87.605828953
2016-02-01 14:41:00,OTHER OFFENSE,TELEPHONE THREAT,41.799043066,-87.622576437
2016-01-31 15:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.789564805,-87.626659751
2016-01-30 11:10:00,OTHER OFFENSE,TELEPHONE THREAT,41.783299299,-87.607248137
2016-01-28 23:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.772854353,-87.621692527
2016-01-27 22:19:00,OTHER OFFENSE,TELEPHONE THREAT,41.790628946,-87.603729472
2016-01-27 13:38:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,41.772270181,-87.618656263
2016-01-27 11:56:00,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,41.772683728,-87.615440298
2016-01-26 21:32:00,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,41.772974758,-87.615022799
2016-01-25 10:00:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,41.780946398,-87.621995369
2016-01-24 22:00:00,OTHER OFFENSE,ARSONIST: ANNUAL REGISTRATION,41.77935338,-87.615604225
2016-01-24 15:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.795675237,-87.631855152
2016-01-23 19:32:00,OTHER OFFENSE,TELEPHONE THREAT,41.778099133,-87.633828531
2016-01-23 06:00:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,41.792470297,-87.615919964
2016-01-21 21:00:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,41.790520722,-87.622358898
2016-01-19 15:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.772233343,-87.625116036
