date,primary type,secondary type,latitude,longitude
2016-02-24 21:45:00,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,41.795526982,-87.627811787
2016-02-24 04:35:00,CRIMINAL DAMAGE,TO PROPERTY,41.78146195,-87.614440445
2016-02-24 03:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.798156406,-87.623422403
2016-02-23 17:50:00,ROBBERY,ARMED: HANDGUN,41.785373819,-87.6085264
2016-02-23 09:00:00,BURGLARY,FORCIBLE ENTRY,41.782083041,-87.615020146
2016-02-23 07:00:00,BURGLARY,FORCIBLE ENTRY,41.783455232,-87.613274211
2016-02-22 17:30:00,BURGLARY,FORCIBLE ENTRY,41.784100993,-87.602113183
2016-02-22 17:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.784015947,-87.6081787
2016-02-22 15:55:00,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,41.772054931,-87.625110666
2016-02-22 14:50:00,CRIMINAL DAMAGE,TO PROPERTY,41.794733492,-87.620192694
2016-02-22 13:01:00,CRIMINAL DAMAGE,TO PROPERTY,41.794733492,-87.620192694
2016-02-21 22:30:00,CRIMINAL DAMAGE,TO VEHICLE,41.773536673,-87.62999581
2016-02-21 17:00:00,ROBBERY,ARMED: HANDGUN,41.777873967,-87.615565728
2016-02-21 15:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.783728383,-87.624542227
2016-02-20 20:10:00,CRIMINAL DAMAGE,TO VEHICLE,41.77587157,-87.608285118
2016-02-20 05:00:00,ROBBERY,ARMED: HANDGUN,41.779059693,-87.615596501
2016-02-20 05:00:00,ROBBERY,ARMED: HANDGUN,41.773424557,-87.625146923
2016-02-20 04:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.779607237,-87.636330923
2016-02-19 17:14:00,CRIMINAL DAMAGE,TO PROPERTY,41.794672085,-87.623570871
2016-02-19 12:06:00,CRIMINAL DAMAGE,TO PROPERTY,41.783026429,-87.614477968
2016-02-19 01:00:00,ROBBERY,ARMED: HANDGUN,41.777967289,-87.615568353
2016-02-18 22:05:00,ROBBERY,ARMED: HANDGUN,41.775796226,-87.615515573
2016-02-18 18:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.784906565,-87.632738878
2016-02-18 12:45:00,BURGLARY,UNLAWFUL ENTRY,41.776785504,-87.60526122
2016-02-18 12:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.790597548,-87.617495642
2016-02-18 01:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.771914123,-87.62186422
2016-02-17 19:55:00,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,41.794625156,-87.627088236
2016-02-17 19:11:00,BURGLARY,FORCIBLE ENTRY,41.78219834,-87.608037855
2016-02-17 16:15:00,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,41.792989118,-87.616823621
2016-02-17 15:30:00,CRIMINAL DAMAGE,TO PROPERTY,41.777526042,-87.614345087
2016-02-17 05:15:00,CRIMINAL DAMAGE,TO PROPERTY,41.775967142,-87.614322172
2016-02-17 01:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.789247208,-87.62188894
2016-02-16 18:10:00,ROBBERY,STRONGARM - NO WEAPON,41.794621043,-87.627311981
2016-02-16 16:10:00,CRIMINAL DAMAGE,TO PROPERTY,41.781582109,-87.604330677
2016-02-16 15:20:00,BURGLARY,UNLAWFUL ENTRY,41.780048569,-87.621037369
2016-02-16 14:30:00,CRIMINAL DAMAGE,TO VEHICLE,41.777775144,-87.610745722
2016-02-15 23:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.785848109,-87.607582382
2016-02-15 20:15:00,CRIMINAL DAMAGE,TO PROPERTY,41.771973284,-87.628344899
