date,primary type,secondary type,latitude,longitude
2016-02-23 09:23:00,NARCOTICS,POSS: AMPHETAMINES,41.771270351,-87.608872153
2016-02-21 20:08:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.780243493,-87.615319321
2016-02-20 18:27:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.783777062,-87.621762419
2016-02-19 23:37:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.769065813,-87.610040671
2016-02-18 17:55:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.789280246,-87.620135797
2016-02-18 17:25:00,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,41.784763209,-87.615738225
2016-02-17 18:39:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.786964432,-87.615787013
2016-02-13 15:43:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.774965636,-87.605197482
2016-02-12 16:32:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.772194142,-87.614386306
2016-02-08 19:06:00,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,41.773405326,-87.625143469
2016-02-08 16:57:00,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,41.780217525,-87.616874156
2016-02-07 21:10:00,NARCOTICS,POSS: HEROIN(WHITE),41.76522681,-87.609211395
2016-02-06 20:59:00,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,41.780311376,-87.61169984
2016-02-06 17:39:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.774483417,-87.607054294
2016-02-04 16:12:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.765278118,-87.604738872
2016-02-01 04:26:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.768478823,-87.60704138
2016-01-30 16:54:00,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,41.772556944,-87.605756287
2016-01-30 16:10:00,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,41.779735144,-87.600439599
2016-01-29 17:19:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.780070226,-87.596193791
2016-01-28 09:09:00,NARCOTICS,POSS: HEROIN(WHITE),41.783174011,-87.61569728
2016-01-27 14:05:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.766458725,-87.620135686
2016-01-27 14:04:00,PUBLIC PEACE VIOLATION,BOMB THREAT,41.778015745,-87.598061446
2016-01-26 19:44:00,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,41.772891536,-87.619723493
2016-01-26 19:27:00,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,41.777838294,-87.615566126
2016-01-25 16:45:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.783891154,-87.615399623
2016-01-25 08:07:00,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,41.786735748,-87.622261382
2016-01-23 12:30:00,NARCOTICS,ALTER/FORGE PRESCRIPTION,41.788699253,-87.604954085
2016-01-21 23:35:00,NARCOTICS,FOUND SUSPECT NARCOTICS,41.774470171,-87.598497876
2016-01-21 18:52:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.773238982,-87.59565613
2016-01-19 17:59:00,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,41.774449537,-87.602145833
2016-01-18 16:56:00,NARCOTICS,POSS: HEROIN(BRN/TAN),41.781148276,-87.625355258
2016-01-14 17:29:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.770147669,-87.620234126
2016-01-12 20:33:00,NARCOTICS,POSS: HEROIN(WHITE),41.775894183,-87.607086037
2016-01-12 19:34:00,NARCOTICS,POSS: HEROIN(WHITE),41.774237789,-87.609443657
