date,primary type,secondary type,latitude,longitude
2016-02-23 09:23:00,NARCOTICS,POSS: AMPHETAMINES,41.771270351,-87.608872153
2016-02-21 20:08:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.780243493,-87.615319321
2016-02-20 19:15:00,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),41.767248359,-87.630258779
2016-02-20 18:27:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.783777062,-87.621762419
2016-02-19 23:37:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.769065813,-87.610040671
2016-02-19 17:50:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.769185486,-87.625732415
2016-02-13 15:43:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.774965636,-87.605197482
2016-02-12 18:04:00,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,41.764707098,-87.624890909
2016-02-12 16:32:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.772194142,-87.614386306
2016-02-11 23:00:00,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,41.759991836,-87.628816924
2016-02-10 09:00:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.778052794,-87.636589728
2016-02-08 19:06:00,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,41.773405326,-87.625143469
2016-02-08 17:45:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.769185486,-87.625732415
2016-02-08 16:57:00,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,41.780217525,-87.616874156
2016-02-07 21:10:00,NARCOTICS,POSS: HEROIN(WHITE),41.76522681,-87.609211395
2016-02-07 11:35:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.771433758,-87.636170134
2016-02-06 20:59:00,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,41.780311376,-87.61169984
2016-02-06 17:39:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.774483417,-87.607054294
2016-02-05 10:07:00,NARCOTICS,POSS: SYNTHETIC DRUGS,41.765162688,-87.624896894
2016-02-04 23:37:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.763151705,-87.629009613
2016-02-04 16:12:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.765278118,-87.604738872
2016-02-01 04:26:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.768478823,-87.60704138
2016-01-30 16:54:00,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,41.772556944,-87.605756287
2016-01-29 22:45:00,NARCOTICS,FOUND SUSPECT NARCOTICS,41.778099133,-87.633828531
2016-01-28 09:09:00,NARCOTICS,POSS: HEROIN(WHITE),41.783174011,-87.61569728
2016-01-27 14:05:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.766458725,-87.620135686
2016-01-26 19:44:00,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,41.772891536,-87.619723493
2016-01-26 19:27:00,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,41.777838294,-87.615566126
2016-01-25 16:45:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.783891154,-87.615399623
2016-01-22 12:07:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.764632089,-87.628311641
2016-01-18 16:56:00,NARCOTICS,POSS: HEROIN(BRN/TAN),41.781148276,-87.625355258
2016-01-17 22:57:00,NARCOTICS,POSS: HEROIN(WHITE),41.763303883,-87.621640457
2016-01-14 18:30:00,NARCOTICS,POSS: HEROIN(WHITE),41.769185486,-87.625732415
2016-01-14 17:29:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.770147669,-87.620234126
2016-01-12 20:33:00,NARCOTICS,POSS: HEROIN(WHITE),41.775894183,-87.607086037
2016-01-12 19:34:00,NARCOTICS,POSS: HEROIN(WHITE),41.774237789,-87.609443657
2016-01-12 08:50:00,NARCOTICS,FOUND SUSPECT NARCOTICS,41.765291235,-87.638758524
2016-01-08 11:00:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.764707098,-87.624890909
2016-01-07 19:29:00,NARCOTICS,POSS: HEROIN(WHITE),41.763736298,-87.622779297
