NAME,HOURS OF OPERATION,CYBERNAVIGATOR,TEACHER IN THE LIBRARY,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,LATITUDE,LONGITUDE
Albany Park,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,3401 W. Foster Avenue,CHICAGO,IL,60625,(773) 539-5450,http://www.chipublib.org/locations/1/,,
Altgeld,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,13281 S. Corliss Avenue,CHICAGO,IL,60827,(312) 747-3270,http://www.chipublib.org/locations/3/,,
Archer Heights,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,5055 S. Archer Avenue,CHICAGO,IL,60632,(312) 747-9241,http://www.chipublib.org/locations/4/,,
Austin,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,5615 W. Race Avenue,CHICAGO,IL,60644,(312) 746-5038,http://www.chipublib.org/locations/6/,,
Austin-Irving,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,6100 W. Irving Park Road,CHICAGO,IL,60634,(312) 744-6222,http://www.chipublib.org/locations/7/,,
Avalon,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,8148 S. Stony Island Avenue,CHICAGO,IL,60617,(312) 747-5234,http://www.chipublib.org/locations/8/,,
Back of the Yards,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,2111 W. 47th Street,CHICAGO,IL,60609,(312) 747-9595,http://www.chipublib.org/locations/9/,,
Beverly,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,1962 W. 95th Street,CHICAGO,IL,60643,(312) 747-9673,http://www.chipublib.org/locations/10/,,
Bezazian,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,1226 W. Ainslie Street,CHICAGO,IL,60640,(312) 744-0019,http://www.chipublib.org/locations/11/,,
Blackstone,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,4904 S. Lake Park Avenue,CHICAGO,IL,60615,(312) 747-0511,http://www.chipublib.org/locations/12/,,
Brainerd,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,1350 W. 89th Street,CHICAGO,IL,60620,(312) 747-6291,http://www.chipublib.org/locations/13/,,
Brighton Park,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,4314 S. Archer Avenue,CHICAGO,IL,60632,(312) 747-0666,http://www.chipublib.org/locations/16/,,
Bucktown-Wicker Park,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,1701 N. Milwaukee Avenue,CHICAGO,IL,60647,(312) 744-6022,http://www.chipublib.org/locations/138/,,
Budlong Woods,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,5630 N. Lincoln Avenue,CHICAGO,IL,60659,(312) 742-9590,http://www.chipublib.org/locations/137/,,
