date,primary type,secondary type,latitude,longitude
2016-02-24 22:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.784906565,-87.632738878
2016-02-24 19:10:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.779697806,-87.613195258
2016-02-24 16:50:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.801513039,-87.617733588
2016-02-24 08:10:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,41.798156406,-87.623422403
2016-02-24 08:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.781231428,-87.620606304
2016-02-23 19:25:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.80565213,-87.622268652
2016-02-23 18:22:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.783428318,-87.607254015
2016-02-22 07:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.789247208,-87.62188894
2016-02-22 03:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.782155365,-87.610362894
2016-02-21 19:43:00,ASSAULT,SIMPLE,41.794509508,-87.633301738
2016-02-21 14:40:00,BATTERY,AGGRAVATED: HANDGUN,41.786681785,-87.637651332
2016-02-21 11:15:00,ASSAULT,SIMPLE,41.795991039,-87.630542489
2016-02-21 09:00:00,BATTERY,SIMPLE,41.792838259,-87.637823125
2016-02-21 07:30:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,41.779059693,-87.615596501
2016-02-21 07:00:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,41.779059693,-87.615596501
2016-02-21 02:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.790818452,-87.636462505
2016-02-20 17:48:00,BATTERY,AGGRAVATED: HANDGUN,41.791583362,-87.634081651
2016-02-20 15:32:00,BATTERY,AGGRAVATED: HANDGUN,41.789318865,-87.617960897
2016-02-20 14:57:00,HOMICIDE,FIRST DEGREE MURDER,41.792954596,-87.61877124
2016-02-20 12:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.781576603,-87.615660095
2016-02-20 12:00:00,ASSAULT,SIMPLE,41.798778434,-87.633108582
2016-02-20 10:45:00,BATTERY,AGGRAVATED: HANDGUN,41.78145774,-87.630165907
2016-02-20 04:45:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.792888946,-87.623231167
2016-02-20 03:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.790301117,-87.61748794
2016-02-19 19:00:00,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,41.80171934,-87.630703621
2016-02-19 18:00:00,BATTERY,SIMPLE,41.780946398,-87.621995369
2016-02-19 14:10:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.788784178,-87.615832724
2016-02-19 13:04:00,ASSAULT,SIMPLE,41.777838294,-87.615566126
2016-02-19 04:18:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.786456541,-87.629058932
2016-02-19 01:39:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.792444765,-87.62240731
2016-02-18 20:25:00,ASSAULT,SIMPLE,41.794214064,-87.62986147
2016-02-18 19:36:00,BATTERY,SIMPLE,41.785311089,-87.612076444
2016-02-18 19:20:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,41.778980114,-87.615597389
2016-02-18 01:18:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,41.779213408,-87.61560212
2016-02-18 00:31:00,INTIMIDATION,INTIMIDATION,41.784833656,-87.622212733
2016-02-17 21:22:00,ASSAULT,AGGRAVATED: HANDGUN,41.797471952,-87.633075129
2016-02-17 15:35:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.784999146,-87.610910278
2016-02-17 09:50:00,BATTERY,PRO EMP HANDS NO/MIN INJURY,41.798741929,-87.62580711
2016-02-17 03:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.797483144,-87.624163306
2016-02-17 02:50:00,BATTERY,SIMPLE,41.790752055,-87.625601621
2016-02-16 22:45:00,ASSAULT,SIMPLE,41.789226074,-87.623352264
2016-02-16 20:30:00,BATTERY,SIMPLE,41.801137262,-87.622626646
2016-02-16 09:00:00,BATTERY,SIMPLE,41.785161229,-87.620603115
2016-02-15 20:30:00,BATTERY,SIMPLE,41.779796965,-87.630536021
2016-02-15 17:51:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.78287758,-87.615689586
2016-02-15 13:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.785590821,-87.621727697
2016-02-15 12:15:00,BATTERY,SIMPLE,41.779975054,-87.630937377
2016-02-15 07:30:00,BATTERY,SIMPLE,41.790320325,-87.617487726
2016-02-14 18:57:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,41.792137805,-87.634097628
2016-02-14 04:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.778980114,-87.615597389
2016-02-13 23:08:00,BATTERY,SIMPLE,41.792206818,-87.615915568
2016-02-13 10:00:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,41.781540907,-87.615656827
2016-02-13 03:00:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,41.781560138,-87.615660279
2016-02-12 14:45:00,BATTERY,PRO EMP HANDS NO/MIN INJURY,41.804847176,-87.624346184
2016-02-12 03:32:00,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,41.794324752,-87.624652856
2016-02-10 17:48:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.784991132,-87.614445021
2016-02-10 17:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.789247208,-87.62188894
2016-02-10 15:47:00,BATTERY,SIMPLE,41.777635185,-87.615561058
2016-02-10 14:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.786845746,-87.627191958
2016-02-10 14:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.78696081,-87.622266229
2016-02-09 23:55:00,ASSAULT,AGGRAVATED: HANDGUN,41.786856722,-87.627191838
2016-02-09 18:55:50,INTIMIDATION,INTIMIDATION,41.788353264,-87.615822861
2016-02-09 11:15:00,BATTERY,SIMPLE,41.781353265,-87.635083754
2016-02-09 09:00:00,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,41.786788667,-87.629069964
2016-02-09 07:20:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.789247208,-87.62188894
2016-02-08 15:50:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.801253378,-87.61614108
2016-02-08 15:27:00,ASSAULT,SIMPLE,41.785187197,-87.608524835
2016-02-07 20:10:00,BATTERY,SIMPLE,41.790561874,-87.617496039
2016-02-07 13:52:00,ASSAULT,SIMPLE,41.777690067,-87.615560446
2016-02-07 12:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.797832643,-87.61768285
2016-02-07 11:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.790376197,-87.620736031
2016-02-07 09:45:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.794344947,-87.615968735
2016-02-07 09:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.805654578,-87.622220943
2016-02-07 07:50:00,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,41.793890917,-87.617532341
2016-02-07 05:05:00,BATTERY,SIMPLE,41.781270337,-87.608403957
2016-02-06 23:30:00,ASSAULT,SIMPLE,41.782087594,-87.613993478
2016-02-06 21:20:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.797832643,-87.61768285
2016-02-06 21:19:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,41.782927032,-87.620547195
