date,primary type,secondary type,latitude,longitude
2016-02-24 22:40:00,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,41.797704412,-87.625778181
2016-02-24 11:31:00,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,41.790707399,-87.627710626
2016-02-24 06:40:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,41.790556418,-87.62236217
2016-02-23 19:30:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.785268355,-87.614452924
2016-02-21 16:52:00,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,41.78024763,-87.615102958
2016-02-17 19:27:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,41.781335054,-87.615651789
2016-02-16 19:27:00,OTHER OFFENSE,PAROLE VIOLATION,41.783495883,-87.638140427
2016-02-16 14:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.801538809,-87.616145232
2016-02-12 17:43:00,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,41.791751948,-87.632924701
2016-02-09 00:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.795730196,-87.622492022
2016-02-08 22:30:00,OTHER OFFENSE,PAROLE VIOLATION,41.797589971,-87.633077511
2016-02-07 12:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.80156088,-87.621015557
2016-02-07 10:45:00,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,41.795247904,-87.625717187
2016-02-07 10:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.78134101,-87.609602089
2016-02-05 10:26:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,41.788357874,-87.622302126
2016-02-04 22:40:00,OTHER OFFENSE,PAROLE VIOLATION,41.779059693,-87.615596501
2016-02-03 17:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.785002507,-87.609700245
2016-02-02 13:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.783299299,-87.607248137
2016-02-01 14:41:00,OTHER OFFENSE,TELEPHONE THREAT,41.799043066,-87.622576437
2016-01-31 15:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.789564805,-87.626659751
2016-01-30 22:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.80513194,-87.618045428
2016-01-30 11:10:00,OTHER OFFENSE,TELEPHONE THREAT,41.783299299,-87.607248137
2016-01-27 22:19:00,OTHER OFFENSE,TELEPHONE THREAT,41.790628946,-87.603729472
2016-01-25 10:00:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,41.780946398,-87.621995369
2016-01-24 22:00:00,OTHER OFFENSE,ARSONIST: ANNUAL REGISTRATION,41.77935338,-87.615604225
2016-01-24 15:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.795675237,-87.631855152
2016-01-23 06:00:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,41.792470297,-87.615919964
2016-01-22 18:28:00,OTHER OFFENSE,TELEPHONE THREAT,41.803051442,-87.617991547
2016-01-21 21:00:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,41.790520722,-87.622358898
2016-01-18 10:40:00,OTHER OFFENSE,TELEPHONE THREAT,41.784895894,-87.618974395
2016-01-16 19:00:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,41.781426277,-87.614440844
2016-01-15 09:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.78851612,-87.623928461
2016-01-14 22:15:00,OTHER OFFENSE,TELEPHONE THREAT,41.780946398,-87.621995369
2016-01-14 22:00:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,41.785848109,-87.607582382
2016-01-13 14:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.783315787,-87.607251618
2016-01-12 20:25:00,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,41.779150271,-87.615599158
2016-01-12 20:02:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.78490137,-87.61325803
2016-01-12 17:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.783206,-87.60724919
2016-01-10 08:11:00,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,41.783486919,-87.62055566
2016-01-08 12:10:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,41.779120086,-87.615599494
2016-01-08 00:40:00,OTHER OFFENSE,TELEPHONE THREAT,41.778966393,-87.615597542
2016-01-07 08:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.783206,-87.60724919
2016-01-04 11:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.798417673,-87.618644539
2016-01-02 10:20:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.797468529,-87.620914182
2016-01-01 17:00:00,OTHER OFFENSE,TELEPHONE THREAT,41.788525309,-87.622307609
